"period","cell_id","record_count","richness"
"1890-2000",1275,2,2
"1890-2000",1278,1,1
"1890-2000",1331,33,21
"1890-2000",1366,1,1
"1890-2000",1375,3,3
"1890-2000",1376,4,4
"1890-2000",1378,1,1
"1890-2000",1386,14,11
"1890-2000",1387,2,2
"1890-2000",1389,1,1
"1890-2000",1392,1,1
"1890-2000",1395,2,2
"1890-2000",1488,36,22
"1890-2000",1490,1,1
"1890-2000",1492,1,1
"1890-2000",1496,2,2
"1890-2000",1499,1,1
"1890-2000",1501,5,4
"1890-2000",1502,1,1
"1890-2000",1599,21,14
"1890-2000",1602,1,1
"1890-2000",1603,5,3
"1890-2000",1613,6,3
"1890-2000",1658,1,1
"1890-2000",1664,2,1
"1890-2000",1711,1,1
"1890-2000",1712,4,3
"1890-2000",1714,1,1
"1890-2000",1720,6,6
"1890-2000",1721,13,9
"1890-2000",1768,2,2
"1890-2000",1826,31,24
"1890-2000",1831,1,1
"1890-2000",1880,1,1
"1890-2000",1883,1,1
"1890-2000",1991,4,4
"1890-2000",1992,3,1
"1890-2000",1993,1,1
"1890-2000",1996,2,2
"1890-2000",1998,1,1
"1890-2000",2102,36,28
"1890-2000",2103,5,5
"1890-2000",2104,4,3
"1890-2000",2158,4,4
"1890-2000",2214,1,1
"1890-2000",2215,27,16
"1890-2000",2216,2,2
"1890-2000",2217,2,2
"1890-2000",2328,4,3
"1890-2000",2436,1,1
"1890-2000",2437,1,1
"1890-2000",2438,3,3
"1890-2000",2439,2,1
"1890-2000",2549,1,1
"1890-2000",2550,4,1
"1890-2000",2555,1,1
"1890-2000",2560,1,1
"1890-2000",2587,4,4
"1890-2000",2605,1,1
"1890-2000",2827,2,2
"1890-2000",2828,1,1
"1890-2000",2994,14,14
"1890-2000",3026,1,1
"1890-2000",3050,2,1
"1890-2000",3140,1,1
"1890-2000",3158,5,3
"1890-2000",3161,6,6
"1890-2000",3253,1,1
"1890-2000",3255,1,1
"1890-2000",3270,2,1
"1890-2000",3273,1,1
"1890-2000",3310,1,1
"1890-2000",3311,3,2
"1890-2000",3322,1,1
"1890-2000",3324,1,1
"1890-2000",3326,4,3
"1890-2000",3329,4,4
"1890-2000",3330,3,3
"1890-2000",3382,1,1
"1890-2000",3421,3,2
"1890-2000",3424,1,1
"1890-2000",3427,1,1
"1890-2000",3432,4,4
"1890-2000",3438,1,1
"1890-2000",3440,1,1
"1890-2000",3445,7,6
"1890-2000",3498,19,10
"1890-2000",3541,1,1
"1890-2000",3543,1,1
"1890-2000",3544,1,1
"1890-2000",3553,1,1
"1890-2000",3607,2,1
"1890-2000",3662,1,1
"1890-2000",3666,3,3
"1890-2000",3669,8,7
"1890-2000",3765,1,1
"1890-2000",3769,1,1
"1890-2000",3824,3,2
"1890-2000",3827,2,2
"1890-2000",3880,1,1
"1890-2000",3882,1,1
"1890-2000",3883,1,1
"1890-2000",3889,1,1
"1890-2000",3941,1,1
"1890-2000",3983,5,5
"1890-2000",3990,1,1
"1890-2000",3992,1,1
"1890-2000",3996,1,1
"1890-2000",3998,3,2
"1890-2000",4004,10,7
"1890-2000",4005,22,20
"1890-2000",4049,7,6
"1890-2000",4051,11,11
"1890-2000",4054,1,1
"1890-2000",4055,2,2
"1890-2000",4056,7,5
"1890-2000",4057,13,12
"1890-2000",4060,6,6
"1890-2000",4107,1,1
"1890-2000",4111,3,2
"1890-2000",4112,1,1
"1890-2000",4117,1,1
"1890-2000",4155,1,1
"1890-2000",4160,1,1
"1890-2000",4161,8,6
"1890-2000",4163,1,1
"1890-2000",4166,5,3
"1890-2000",4167,3,3
"1890-2000",4168,40,32
"1890-2000",4172,1,1
"1890-2000",4269,2,2
"1890-2000",4274,2,2
"1890-2000",4279,1,1
"1890-2000",4280,2,2
"1890-2000",4281,33,16
"1890-2000",4336,1,1
"1890-2000",4380,4,4
"1890-2000",4387,3,1
"1890-2000",4390,1,1
"1890-2000",4392,13,8
"1890-2010",368,3,2
"1890-2010",369,1,1
"1890-2010",479,1,1
"1890-2010",480,53,40
"1890-2010",482,1,1
"1890-2010",488,22,14
"1890-2010",489,33,27
"1890-2010",536,1,1
"1890-2010",540,2,1
"1890-2010",541,8,8
"1890-2010",542,117,69
"1890-2010",544,5,5
"1890-2010",545,4,4
"1890-2010",546,109,55
"1890-2010",547,1,1
"1890-2010",549,2,2
"1890-2010",590,2,2
"1890-2010",597,1,1
"1890-2010",598,1,1
"1890-2010",604,1,1
"1890-2010",653,1,1
"1890-2010",654,3,3
"1890-2010",655,3,2
"1890-2010",656,6,5
"1890-2010",657,92,62
"1890-2010",658,1,1
"1890-2010",661,16,15
"1890-2010",662,1,1
"1890-2010",711,2,1
"1890-2010",756,1,1
"1890-2010",774,77,59
"1890-2010",775,1,1
"1890-2010",871,3,2
"1890-2010",882,1,1
"1890-2010",883,1,1
"1890-2010",941,90,71
"1890-2010",985,4,3
"1890-2010",992,2,1
"1890-2010",995,1,1
"1890-2010",1041,1,1
"1890-2010",1107,43,36
"1890-2010",1146,1,1
"1890-2010",1159,1,1
"1890-2010",1213,1,1
"1890-2010",1214,14,8
"1890-2010",1219,14,12
"1890-2010",1259,6,6
"1890-2010",1261,1,1
"1890-2010",1262,6,6
"1890-2010",1263,19,7
"1890-2010",1264,4,4
"1890-2010",1275,2,2
"1890-2010",1278,1,1
"1890-2010",1331,33,21
"1890-2010",1366,1,1
"1890-2010",1375,3,3
